Question,Category,Level,CorrectAnswer,Option1,Option2,Option3,Option4
Who is the current Prime Minister of India?,Politics,Easy,1,Modi,Gandhi,Singh,Patel
What is the capital city of India?,Politics,Easy,1,New Delhi,Mumbai,Kolkata,Chennai
Which party won the most seats in the 2019 Indian general elections?,Politics,Easy,1,BJP,Congress,AAP,SP
What is the term length of the Lok Sabha?,Politics,Easy,1,5 years,4 years,6 years,7 years
Who is the head of state in India?,Politics,Easy,1,President,Prime Minister,King,Emperor
Which Indian state was the first to implement the Panchayati Raj system?,Politics,Easy,1,Rajasthan,Bihar,Kerala,Maharashtra
How many schedules are there in the Indian Constitution?,Politics,Medium,4,8,10,14,12
Who is considered the architect of the Indian Constitution?,Politics,Medium,3,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar,Subhas Chandra Bose
In which year was the first general election held in independent India?,Politics,Medium,3,1947-48,1950-51,1951-52,1953-54
Which state has the highest number of seats in the Rajya Sabha?,Politics,Hard,4,Maharashtra,West Bengal,Bihar,Uttar Pradesh
Who is the current Chief Justice of India (as of 2022)?,Politics,Hard,1,Dhananjaya Chandrachud,Ranjan Gogoi,Dipak Misra,N. V. Ramana
Which amendment to the Indian Constitution introduced the anti-defection law?,Politics,Hard,2,42nd Amendment,52nd Amendment,62nd Amendment,72nd Amendment
Who was the first female Prime Minister of India?,Politics,Hard,4,Sarojini Naidu,Pratibha Patil,Sonia Gandhi,Indira Gandhi
What is the minimum age required to become a member of the Rajya Sabha?,Politics,Hard,2,25,30,35,40
What is the chemical symbol for water?,Science,Easy,1,H2O,O2H,HO2,H₂O2
Which gas is most abundant in the Earth's atmosphere?,Science,Easy,1,Nitrogen,Oxygen,Carbon dioxide,Hydrogen
What is the boiling point of water in Celsius?,Science,Easy,3,50°C,75°C,100°C,150°C
What is the formula for calculating density?,Science,Easy,3,Weight/Volume,Mass/Length,Mass/Volume,Volume/Mass
What is the SI unit of force?,Science,Easy,3,Watt,Joule,Newton,Pascal
What is the chemical symbol for gold?,Science,Easy,4,Ag,Fe,Cu,Au
What is the process by which plants make their food?,Science,Medium,3,Respiration,Digestion,Photosynthesis,Fermentation
"Which planet is known as the ""Red Planet""?",Science,Medium,4,Venus,Jupiter,Saturn,Mars
What is the unit of electric current?,Science,Medium,4,Watt,Volt,Ohm,Ampere
What is the chemical formula for table salt?,Science,Medium,3,Na2CO3,HCl,NaCl,H2SO4
What is the pH value of pure water?,Science,Medium,2,5,7,9,10
What is the hardest naturally occurring substance?,Science,Medium,3,Quartz,Graphite,Diamond,Topaz
What is the chemical symbol for iron?,Science,Hard,3,Ag,Cu,Fe,Pb
Who proposed the theory of relativity?,Science,Hard,3,Isaac Newton,Nikola Tesla,Albert Einstein,Stephen Hawking
What is the unit of energy in the International System of Units (SI)?,Science,Hard,3,Watt,Newton,Joule,Volt
What is the result of 5 + 7?,Mathematics,Easy,3,10,11,12,13
What is the square root of 64?,Mathematics,Easy,3,4,6,8,10
What is the value of 3 × 4?,Mathematics,Easy,3,8,10,12,14
What is 25% of 80?,Mathematics,Easy,2,15,20,25,30
"What is the next number in the sequence: 2, 4, 6, 8, ?",Mathematics,Easy,2,9,10,11,12
What is the result of 9 - 3?,Mathematics,Easy,2,4,6,8,10
What is the value of π (pi) correct to two decimal places?,Mathematics,Medium,2,3.12,3.14,3.16,3.18
What is the area of a square with side length 5 units?,Mathematics,Medium,3,15 sq. units,20 sq. units,25 sq. units,30 sq. units
What is the value of 5² - 3²?,Mathematics,Medium,4,4,8,12,16
What is the result of 3 × (4 + 2)?,Mathematics,Medium,4,12,14,16,18
What is the circumference of a circle with diameter 10 units?,Mathematics,Medium,3,20 units,25 units,31.4 units,40 units
"If 12 is divided by 4, what is the quotient?",Mathematics,Hard,2,2,3,4,0
What is the value of 4! (4 factorial)?,Mathematics,Hard,3,12,18,24,30
What is the sum of the first 10 positive integers?,Mathematics,Hard,3,45,50,55,60
Who was the first President of the United States?,History,Easy,3,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams
In which year did Christopher Columbus discover America?,History,Easy,2,1456,1492,1520,1556
Who was the first female Prime Minister of the United Kingdom?,History,Easy,2,Theresa May,Margaret Thatcher,Angela Merkel,Indira Gandhi
Who was the first Emperor of Rome?,History,Easy,2,Julius Caesar,Augustus,Nero,Constantine
In which year did World War II end?,History,Easy,3,1939,1941,1945,1950
"Who wrote ""The Communist Manifesto""?",History,Easy,1,Karl Marx,Vladimir Lenin,Friedrich Engels,Mao Zedong
Who was the last ruler of the Mughal Empire?,History,Medium,3,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan
In which year did the French Revolution begin?,History,Medium,3,1750,1776,1789,1800
Which Egyptian pharaoh is famous for building the Great Pyramid of Giza?,History,Medium,2,Tutankhamun,Khufu,Ramses II,Cleopatra
Who was the first Prime Minister of India?,History,Medium,3,Mahatma Gandhi,Indira Gandhi,Jawaharlal Nehru,Sardar Patel
Which ancient civilization is credited with the invention of writing?,History,Medium,2,Egyptians,Sumerians,Greeks,Romans
Who was the first female ruler of England?,History,Medium,2,Queen Victoria,Mary Tudor,Queen Elizabeth I,Queen Anne
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,History,Hard,3,Vladimir Lenin,Joseph Stalin,Nikita Khrushchev,Leonid Brezhnev
What was the name of the first permanent English settlement in North America?,History,Hard,2,Plymouth,Jamestown,Roanoke,Williamsburg
Which ancient civilization built the city of Machu Picchu?,History,Hard,2,Aztecs,Incas,Mayans,Egyptians
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
